multiplier,growth,n,one,split,d_wei,rel,exact
1000000000000000000000000000,0.01,1,1010000000000000000208166817,1010000000000000000208166817,0,0.0,1010000000000000000208166817.1172
1000000000000000000000000000,0.01,2,1010000000000000000208166817,1010000000000000000208166817,0,0.0,1010000000000000000208166817.1172
1000000000000000000000000000,0.01,10,1010000000000000000208166817,1010000000000000000208166817,0,0.0,1010000000000000000208166817.1172
1000000000000000000000000000,0.01,100,1010000000000000000208166817,1010000000000000000208166816,-1,-9.90099e-28,1010000000000000000208166817.1172
1000000000000000000000000000,0.01,1000,1010000000000000000208166817,1010000000000000000208166816,-1,-9.90099e-28,1010000000000000000208166817.1172
1000000000000000000000000000,0.01,8760,1010000000000000000208166817,1010000000000000000208166818,1,9.90099e-28,1010000000000000000208166817.1172
1000000000000000000000000000,0.01,30000,1010000000000000000208166817,1010000000000000000208166824,7,6.93069e-27,1010000000000000000208166817.1172
1000000000000000000000000000,0.05,1,1050000000000000002775557562,1050000000000000002775557562,0,0.0,1050000000000000002775557561.5629
1000000000000000000000000000,0.05,2,1050000000000000002775557562,1050000000000000002775557562,0,0.0,1050000000000000002775557561.5629
1000000000000000000000000000,0.05,10,1050000000000000002775557562,1050000000000000002775557562,0,0.0,1050000000000000002775557561.5629
1000000000000000000000000000,0.05,100,1050000000000000002775557562,1050000000000000002775557563,1,9.52381e-28,1050000000000000002775557561.5629
1000000000000000000000000000,0.05,1000,1050000000000000002775557562,1050000000000000002775557562,0,0.0,1050000000000000002775557561.5629
1000000000000000000000000000,0.05,8760,1050000000000000002775557562,1050000000000000002775557563,1,9.52381e-28,1050000000000000002775557561.5629
1000000000000000000000000000,0.05,30000,1050000000000000002775557562,1050000000000000002775557548,-14,-1.33333e-26,1050000000000000002775557561.5629
1000000000000000000000000000,0.1,1,1100000000000000005551115123,1100000000000000005551115123,0,0.0,1100000000000000005551115123.1258
1000000000000000000000000000,0.1,2,1100000000000000005551115123,1100000000000000005551115123,0,0.0,1100000000000000005551115123.1258
1000000000000000000000000000,0.1,10,1100000000000000005551115123,1100000000000000005551115123,0,0.0,1100000000000000005551115123.1258
1000000000000000000000000000,0.1,100,1100000000000000005551115123,1100000000000000005551115124,1,9.09091e-28,1100000000000000005551115123.1258
1000000000000000000000000000,0.1,1000,1100000000000000005551115123,1100000000000000005551115130,7,6.36364e-27,1100000000000000005551115123.1258
1000000000000000000000000000,0.1,8760,1100000000000000005551115123,1100000000000000005551115105,-18,-1.63636e-26,1100000000000000005551115123.1258
1000000000000000000000000000,0.1,30000,1100000000000000005551115123,1100000000000000005551115090,-33,-3.0e-26,1100000000000000005551115123.1258
1000000000000000000000000000,0.25,1,1250000000000000000000000000,1250000000000000000000000000,0,0.0,1250000000000000000000000000.0
1000000000000000000000000000,0.25,2,1250000000000000000000000000,1250000000000000000000000000,0,0.0,1250000000000000000000000000.0
1000000000000000000000000000,0.25,10,1250000000000000000000000000,1250000000000000000000000000,0,0.0,1250000000000000000000000000.0
1000000000000000000000000000,0.25,100,1250000000000000000000000000,1249999999999999999999999995,-5,-4.0e-27,1250000000000000000000000000.0
1000000000000000000000000000,0.25,1000,1250000000000000000000000000,1250000000000000000000000010,10,8.0e-27,1250000000000000000000000000.0
