rate,period_days,cubic,exact,shortfall
0.05,1,1000136995684207123913971256,1000136995684421689481758063.240057,2.1453618e-13
0.05,30,1004118042106000198980737699,1004118044981651419640870747.803944,2.8638577e-9
0.05,365,1051265681539063652804308672,1051271096376024042202028757.036592,5.1507522e-6
0.05,1825,1283210197295268871381543360,1284025416687741499368504521.397209,0.0006348935
0.5,1,1001370801693531651408754831,1001370801704613834204172760.159149,1.1067012e-11
0.5,30,1041951892146265525315444948,1041952013962091714490847058.578746,1.1691117e-7
0.5,365,1645830359832302219913913536,1648721270700128157802388129.21705,0.0017534261
0.5,1825,9228795652862770486449567680,12182493960703473842759074494.05499,0.24245432
1.0,1,1002743482460576879111146463,1002743482506541040601908004.117801,4.5838405e-11
1.0,30,1085662063199674981948793896,1085663999399658967134339192.614444,1.7834247e-6
1.0,365,2666663803286307009891659072,2718281828459045271479606968.219083,0.01898921
1.0,1825,39332978898869386515698295360,148413159102576613281355704965.4762,0.73497647
5.0,1,1013792883700188104332275760,1013792886272348689039291425.697227,2.5371657e-9
5.0,30,1506970084368796321853072801,1508263371858167816061893619.366034,0.00085746794
5.0,365,39333327218242112430695052416,148413159102576572485857167902.3609,0.73497413
5.0,1825,2942666148031137272151555262080,7.200489933738579748060788857923687e+37,0.99999996
